Upload Date,Channel,Title,Views,Video URL,Thumbnail Path,Description
2021-12-21,CrashCourse,How Are We All Part of Ending Outbreaks? Crash Course Outbreak Science #15,49178,https://www.youtube.com/watch?v=Dpah15G3LSA,src/assets/thumbnails/2021-12-21-1.jpg,"Over the course of this series, we've seen that outbreak science is actually MANY sciences, including biology, epidemiology, sociology, and even economics! Because outbreak science is an interdisciplinary field, everyone has a role to play in ending outbreaks, including you! In this final episode of Crash Course Outbreak Science, we'll take a look at how different fields come together to prepare for and prevent outbreaks."
2021-12-14,CrashCourse,How do Outbreaks End? Vaccines and Recovery: Crash Course Outbreak Science #14,87918,https://www.youtube.com/watch?v=0nSjN8GVJQM,src/assets/thumbnails/2021-12-14-1.jpg,"Throughout this series, and in our real lives, we've seen the chaos and devastation that outbreaks can cause. But there's good news! Eventually, outbreaks come to an end. In this episode, we'll look at some of the important tools of outbreak response, particularly vaccines, and also discuss the important work that happens in the aftermath of an outbreak."
2021-12-07,CrashCourse,What Is Outbreak Culture? Crash Course Outbreak Science #13,53383,https://www.youtube.com/watch?v=EuSGImH2pG8,src/assets/thumbnails/2021-12-07-1.jpg,"When we think of how we respond to outbreaks, we often think of physical things like vaccines or medicines, but there is another factor that is just as critical to understand: culture! Culture determines how we collaborate and use the resources at our disposal in the face of an outbreak."
2021-11-30,CrashCourse,How Can Infrastructure Help Us Stop Outbreaks? Crash Course Outbreak Science #12,49206,https://www.youtube.com/watch?v=k0WGXeWPb1M,src/assets/thumbnails/2021-11-30-1.jpg,"When you think about the technology that helps us prevent outbreaks, what do you think of? Vaccines? Lab tests? Medications? What about toilets? That's right! Toilets are an important piece of technology that can help us prevent outbreaks!"
2021-11-23,CrashCourse,How Can Cooperation End an Outbreak? Crash Course Outbreak Science #11,35195,https://www.youtube.com/watch?v=fXt42GzI1FU,src/assets/thumbnails/2021-11-23-1.jpg,"In 1959, the WHO set out to eradicate smallpox, an ambitious goal that was achieved by 1980. But this goal wouldn't have been possible without coordination on all levels of society."
2021-11-14,SciShow,5 Weird Things That Can Catch Fire,517610,https://www.youtube.com/watch?v=BEcaE0e0CZg,src/assets/thumbnails/2021-11-14-1.jpg,"Fire: it's beautiful, it's dangerous, and it shows up in surprising places. Here are five weird things you might have on hand that can go up in flames."
2021-11-09,CrashCourse,How Does Public Health Tackle Outbreaks? Crash Course Outbreak Science #10,41163,https://www.youtube.com/watch?v=zN58Uj1pxg4,src/assets/thumbnails/2021-11-09-1.jpg,Public health activities are all the ways society coordinates to deliver better health to people.
2021-11-02,CrashCourse,Can We Predict An Outbreak's Future? - Modeling: Crash Course Outbreak Science #9,42321,https://www.youtube.com/watch?v=0nLxb3ms28A,src/assets/thumbnails/2021-11-02-1.jpg,"When outbreaks happen, we need to be able to predict the course they’ll take in the future, but of course we can’t run experiments on real people to figure that out. Thankfully we can simulate outbreaks and use models to find out how different scenarios could play out!"
2021-10-26,CrashCourse,How Do We Investigate Outbreaks? Epidemiology: Crash Course Outbreak Science #8,79091,https://www.youtube.com/watch?v=vk6e0pCbh1k,src/assets/thumbnails/2021-10-26-1.jpg,"At the heart of outbreaks are people! People are the ones who get sick, transmit diseases, and change the way they live in response to outbreaks. In outbreak science, we can better understand the relationship between people and disease through the discipline of epidemiology."
2021-10-19,CrashCourse,How Does the Healthcare System Work During Outbreaks? Crash Course Outbreak Science #7,48224,https://www.youtube.com/watch?v=wbtpOhIP9Bc,src/assets/thumbnails/2021-10-19-1.jpg,"Day to day, hospitals provide all kinds of services to help us get better and stay healthy, but during an outbreak, hospitals are the front line of the emergency."
2021-10-12,CrashCourse,How Do We Know We're Sick? Crash Course Outbreak Science #6,72344,https://www.youtube.com/watch?v=toEnT4C2uNI,src/assets/thumbnails/2021-10-12-1.jpg,"Sometimes, diagnosing patients is pretty easy, but other times... not so much. Luckily, in a medical setting we have tools that can help us figure out what's wrong with patients, and how to help them."
2021-10-05,CrashCourse,The Weaponization of Outbreaks: Crash Course Outbreak Science #5,63196,https://www.youtube.com/watch?v=JjIgNfURISY,src/assets/thumbnails/2021-10-05-1.jpg,A sad reality that we have to face when studying outbreak science is that sometimes groups of people use outbreaks intentionally to inflict harm on another group.
2021-09-29,CrashCourse,Why Do Outbreaks Affect People Unequally? Crash Course Outbreak Science #4,66947,https://www.youtube.com/watch?v=vc7xQs0MCLY,src/assets/thumbnails/2021-09-29-1.jpg,"We’re all susceptible to infectious disease of some kind or other, but not everyone is equally likely to be the victim of an outbreak. The fact is, inequalities both between and within communities mean that some people are at higher risk than others."
2021-09-21,CrashCourse,Why Do We Have Fewer Outbreaks? Epidemiological Transition: Crash Course Outbreak Science #3,96143,https://www.youtube.com/watch?v=ATK_qlg6tTY,src/assets/thumbnails/2021-09-21-1.jpg,"We take it for granted that society gets better at tackling infectious disease over time, but when you really think about it the progress we’ve made in the last century is pretty amazing. How does that much progress happen so quickly?"
2021-09-14,CrashCourse,How Do Outbreaks Start? Pathogens and Immunology: Crash Course Outbreak Science #2,202258,https://www.youtube.com/watch?v=40cyYqqQmJ4,src/assets/thumbnails/2021-09-14-1.jpg,"You may not realize it, but your body is like a fortress, designed to defend you from tiny foreign invaders known as pathogens. This seemingly small world is actually super diverse, and sometimes super dangerous too."
2021-09-07,CrashCourse,What Is Outbreak Science? Crash Course Outbreak Science #1,129897,https://www.youtube.com/watch?v=_qAzXb7mA2g,src/assets/thumbnails/2021-09-07-1.jpg,"Infectious disease has affected the human species for as long as we’ve existed, but in that time we’ve come a long way in understanding what they are and how they spread."
2021-08-31,CrashCourse,Crash Course Outbreak Science Preview,136079,https://www.youtube.com/watch?v=QnVjv-LIgjM,src/assets/thumbnails/2021-08-31-1.jpg,"Welcome to Crash Course Outbreak Science! What do pathogens actually do to us that makes us sick? Why do societies respond to outbreaks of infectious diseases the way they do? How can we stop the next outbreak? These are the kinds of questions we'll ask ourselves and answer as best we can over the next 15 episodes of this series. Join us and Dr. Pardis Sabeti as we look at outbreaks from the microscopic level, to the big picture, so that we can work together to stop future outbreaks and create a healthier future for everyone."
2021-06-22,SciShow,Radiation Is a Green Diamond’s Best Friend,254993,https://www.youtube.com/watch?v=DSAsMJSdJLs,src/assets/thumbnails/2021-06-22-1.jpg,"Diamonds are iconic, but some of them might make others a little green with envy."
2021-04-25,SciShow,What Glowing Fish and Your Dress Shirt Have in Common,119042,https://www.youtube.com/watch?v=Jdh0ecR8hbA,src/assets/thumbnails/2021-04-25-1.jpg,"Fluorescent molecules are useful for a lot more than just making you look cool at your local rave. Fluorescence turns out to be a kind of chemical superpower that lets us tackle all kinds of problems, from solving crimes to saving lives!"
